n         lat       long      dlat      dlong     dh
       108   37.3156   -7.4036    0.0058    0.0057      0.75
       109   37.2193   -7.2198    0.0082    0.0112      0.23
       110   37.3707   -7.9196    0.0023   -0.0025      0.45
       111   37.4830   -6.1487   -0.0006    0.0001      0.16
       112   37.3317   -6.5918   -0.0077    0.0019     -0.96
       113   37.2435   -6.2609   -0.0009    0.0033     -0.17
       114   37.1866   -6.5126   -0.0041    0.0095     -0.92
       115   37.0855   -7.0482    0.0068    0.0165      0.28
       116   37.0882   -7.2815    0.0051    0.0074      0.09
       117   37.1384   -7.6054    0.0033    0.0039     -0.19
       118   37.1012   -6.0670    0.0005    0.0038     -0.32
       119   36.9746   -6.1348     0.005    0.0022     -0.42
