n	lat	long	dlat	dlong	dh
105	37.61839722	-7.927318056	-0.0012	-0.0039	-0.09
106	37.53872833	-6.549113611	-0.0034	0.0011	-0.88
107	37.283535	-7.139837222	0.0091	0.009	0.35
108	37.31556028	-7.403609167	0.0058	0.0057	0.75
109	37.21926389	-7.219758056	0.0082	0.0112	0.23
110	37.37073639	-7.919642778	0.0023	-0.0025	0.45
111	37.48296111	-6.148695	-0.0006	0.0001	0.16
112	37.33173389	-6.591785833	-0.0077	0.0019	-0.96
113	37.24346222	-6.260947778	-0.0009	0.0033	-0.17
114	37.18656306	-6.512643611	-0.0041	0.0095	-0.92
115	37.08551139	-7.048235556	0.0068	0.0165	0.28
116	37.08815222	-7.28146	0.0051	0.0074	0.09
117	37.13835778	-7.605429722	0.0033	0.0039	-0.19
118	37.1011775	-6.066956389	0.0005	0.0038	-0.32
119	36.97459778	-6.134823056	0.005	0.0022	-0.42
